date,away,away_score,home_score,home
2017/8/27,넥센,9,8,롯데
2017/8/27,한화,2,4,SK
2017/8/27,LG,1,1,두산
2017/8/29,SK,4,8,넥센
2017/8/29,LG,4,8,한화
2017/8/29,KIA,10,9,삼성
2017/8/29,롯데,5,7,두산
2017/8/29,NC,13,2,kt
2017/8/30,SK,0,10,넥센
2017/8/30,LG,6,5,한화
2017/8/30,KIA,5,1,삼성
2017/8/30,롯데,5,2,두산
2017/8/30,NC,5,9,kt
2017/8/31,kt,1,10,한화
2017/8/31,NC,5,8,롯데
2017/8/31,삼성,4,5,SK
2017/8/31,넥센,5,3,LG
2017/8/31,두산,4,9,KIA
2017/9/1,kt,6,1,한화
2017/9/1,NC,1,6,롯데
2017/9/1,삼성,7,8,SK
2017/9/1,넥센,2,6,LG
2017/9/1,두산,3,5,KIA
2017/9/2,KIA,7,4,넥센
2017/9/2,LG,0,6,NC
2017/9/2,한화,0,9,롯데
2017/9/2,삼성,3,2,두산
2017/9/2,SK,15,7,kt
2017/9/3,KIA,7,8,넥센
2017/9/3,LG,0,5,NC
2017/9/3,한화,2,7,롯데
2017/9/3,삼성,1,7,두산
2017/9/3,SK,5,13,kt
2017/9/5,두산,4,6,한화
2017/9/5,NC,3,9,삼성
2017/9/5,롯데,2,6,SK
2017/9/5,KIA,3,4,LG
2017/9/5,넥센,1,5,kt
2017/9/6,두산,13,9,한화
2017/9/6,KIA,0,6,LG
2017/9/6,넥센,4,5,kt
2017/9/7,LG,1,1,넥센
2017/9/7,SK,3,4,NC
2017/9/7,삼성,6,5,롯데
2017/9/7,kt,7,3,두산
2017/9/7,한화,11,2,KIA
2017/9/8,LG,10,9,넥센
2017/9/8,SK,2,4,NC
2017/9/8,삼성,5,6,롯데
2017/9/8,kt,2,3,두산
2017/9/8,한화,5,9,KIA
2017/9/9,NC,3,6,한화
2017/9/9,넥센,1,2,SK
2017/9/9,두산,3,4,LG
2017/9/9,삼성,5,6,KIA
2017/9/9,롯데,2,3,kt
2017/9/10,NC,11,5,한화
2017/9/10,넥센,8,17,SK
2017/9/10,두산,5,1,LG
2017/9/10,삼성,9,6,KIA
2017/9/10,롯데,7,5,kt
2017/9/12,kt,3,2,넥센
2017/9/12,한화,6,2,삼성
2017/9/12,두산,14,13,NC
2017/9/12,KIA,6,2,SK
2017/9/12,롯데,2,1,LG
2017/9/13,kt,0,8,넥센
2017/9/13,한화,5,13,삼성
2017/9/13,두산,13,3,NC
2017/9/13,KIA,10,15,SK
2017/9/13,롯데,1,3,LG
2017/9/14,넥센,2,10,한화
2017/9/14,삼성,11,11,NC
2017/9/14,KIA,11,2,롯데
2017/9/14,SK,8,6,두산
2017/9/14,LG,11,12,kt
2017/9/15,넥센,4,6,한화
2017/9/15,삼성,11,3,NC
2017/9/15,KIA,3,4,롯데
2017/9/15,SK,5,0,두산
2017/9/15,LG,4,5,kt
2017/9/16,두산,9,5,삼성
2017/9/16,넥센,14,15,NC
2017/9/16,SK,1,6,롯데
2017/9/16,한화,3,1,LG
2017/9/16,kt,3,17,KIA
2017/9/17,두산,21,8,삼성
2017/9/17,넥센,14,6,NC
2017/9/17,SK,5,9,롯데
2017/9/17,한화,1,8,LG
2017/9/17,kt,3,4,KIA
2017/9/19,두산,8,3,롯데
2017/9/19,kt,15,7,LG
2017/9/19,SK,7,4,KIA
2017/9/20,두산,3,2,NC
2017/9/20,한화,2,1,LG
2017/9/20,SK,4,3,KIA
2017/9/21,LG,4,8,삼성
2017/9/21,넥센,5,3,kt
2017/9/22,롯데,2,0,한화
2017/9/22,LG,8,4,삼성
2017/9/22,두산,6,0,KIA
2017/9/23,삼성,7,8,한화
2017/9/23,LG,11,9,NC
2017/9/23,넥센,2,7,롯데
2017/9/23,kt,3,8,KIA
2017/9/24,LG,3,4,NC
2017/9/24,kt,4,6,두산
2017/9/24,한화,5,0,KIA
2017/9/26,한화,8,11,롯데
2017/9/26,LG,0,6,KIA
2017/9/27,NC,11,1,삼성
2017/9/27,두산,2,3,kt
2017/9/28,KIA,7,4,한화
2017/9/28,LG,15,6,kt
2017/9/29,KIA,7,2,한화
2017/9/29,넥센,4,8,NC
2017/9/29,롯데,7,2,SK
2017/9/29,두산,5,3,LG
2017/9/30,SK,4,1,한화
2017/9/30,넥센,4,11,NC
2017/9/30,삼성,3,4,LG
2017/10/1,두산,6,4,한화
2017/10/1,삼성,10,3,LG
2017/10/1,KIA,2,20,kt
2017/10/2,KIA,5,3,kt
2017/10/3,SK,3,2,두산
2017/10/3,KIA,10,2,kt
2017/10/3,NC,8,8,한화
2017/10/3,LG,2,4,롯데
2017/10/3,넥센,9,10,삼성
2017/10/5,SK,5,10,NC
2017/10/8,NC,9,2,롯데
2017/10/9,NC,0,1,롯데
2017/10/11,롯데,6,13,NC
2017/10/13,롯데,7,1,NC
2017/10/15,NC,9,0,롯데
2017/10/17,NC,13,5,두산
2017/10/18,NC,7,17,두산
2017/10/20,두산,14,3,NC
2017/10/21,두산,14,5,NC
2017/10/25,두산,5,3,KIA
2017/10/26,두산,0,1,KIA
